Chain,Chain ID,Morpho Protocol ID,Identifier,Position,Position ID
ethereum,1,1,0x109eDC846C98BB468a79AFdB4688a519416f1Dc4,1.1.1.0x109edc846c98bb468a79afdb4688a519416f1dc4,30134349704027441448339573181766996149332005975230943779528545429628569916340
ethereum,1,1,0x125D41A6e5dbf455cD9Df8F80BCC6fd172D52Cc6,1.1.1.0x125d41a6e5dbf455cd9df8f80bcc6fd172d52cc6,38334367068595945263524330146651354186756319463170182378599150673503387254533
ethereum,1,1,0x1265a81d42d513Df40d0031f8f2e1346954d665a,1.1.1.0x1265a81d42d513df40d0031f8f2e1346954d665a,75981673540456417636006717324219422252136976633891803784144424088070378874926
ethereum,1,1,0x132E6C9C33A62D7727cd359b1f51e5B566E485Eb,1.1.1.0x132e6c9c33a62d7727cd359b1f51e5b566e485eb,31924195507047584520616503890774566329817685919120061163737017016089133653409
ethereum,1,1,0x13AA4f80AD5F06cE4f1A3a3cA58C37059F0EE4c5,1.1.1.0x13aa4f80ad5f06ce4f1a3a3ca58c37059f0ee4c5,49763628806320620762804663012381621417321490081066528588225075010462720273439
ethereum,1,1,0x1518652736c4eFD9DFA46D68aE83b69C8af802F0,1.1.1.0x1518652736c4efd9dfa46d68ae83b69c8af802f0,53466818265890611759082356388584201317868255320974336692333556926448513919675
ethereum,1,1,0x186514400e52270cef3D80e1c6F8d10A75d47344,1.1.1.0x186514400e52270cef3d80e1c6f8d10a75d47344,8835576800888398981070811712795448314808922244041077137543146290779261093701
ethereum,1,1,0x1941aDa601B91Ea7538E73442a1a632E8F9Ffb70,1.1.1.0x1941ada601b91ea7538e73442a1a632e8f9ffb70,57133494535921758017582186398426574590114627086950280924870791260097825683059
ethereum,1,1,0x19b3cD7032B8C062E8d44EaCad661a0970DD8c55,1.1.1.0x19b3cd7032b8c062e8d44eacad661a0970dd8c55,71595288698714925081923758291384654605583987868340940005391839221478695933438
ethereum,1,1,0x19f91632ba0367cD7B1fc8816071cB31519e5d8a,1.1.1.0x19f91632ba0367cd7b1fc8816071cb31519e5d8a,51930326026008012762447924355547499915503908556325187033635402008198037360253
ethereum,1,1,0x19fa187F0A5e653C9C1b98Ba380e3B3399B114F7,1.1.1.0x19fa187f0a5e653c9c1b98ba380e3b3399b114f7,104429424882009271948298209527924087864581932979052611936790644081482529671376
ethereum,1,1,0x1B4cd53a1A8e5F50aB6320EF34E5fB4D3df7B6f6,1.1.1.0x1b4cd53a1a8e5f50ab6320ef34e5fb4d3df7b6f6,101550367484061951954061257957407406565127139968117817717567101757031558951504
ethereum,1,1,0x1c530D6de70c05A81bF1670157b9d928e9699089,1.1.1.0x1c530d6de70c05a81bf1670157b9d928e9699089,17017714043153647595302701847923826898704641533064035553242861040932229160803
ethereum,1,1,0x1E2aAaDcF528b9cC08F43d4fd7db488cE89F5741,1.1.1.0x1e2aaadcf528b9cc08f43d4fd7db488ce89f5741,63736443429095361297121900258137805521857582421932290848277739947330333465816
ethereum,1,1,0x1e6ffa4e9F63d10B8820A3ab52566Af881Dab53c,1.1.1.0x1e6ffa4e9f63d10b8820a3ab52566af881dab53c,83276733094409643626113351612320578342551144662999633465330883315163263269438
ethereum,1,1,0x20b8020cC34F7105bE5605300FcCa00728f0a5d1,1.1.1.0x20b8020cc34f7105be5605300fcca00728f0a5d1,66960265119169257724293029678919405173097617467892448183012454912944019643500
ethereum,1,1,0x214B47C50057eFaa7adc1B1C2608C3751Cd77D78,1.1.1.0x214b47c50057efaa7adc1b1c2608c3751cd77d78,75417030891282856641462636597811749375763639799293244413698116603258098968448
ethereum,1,1,0x225C119fFaf1CaddCfCDb493283eDF4b816Bf773,1.1.1.0x225c119ffaf1caddcfcdb493283edf4b816bf773,67905043652033509345989731157948649941739231852258819094278374178131818014550
ethereum,1,1,0x234E5AE16eDf321AB5c2DDeBb0CCdf05aACb233b,1.1.1.0x234e5ae16edf321ab5c2ddebb0ccdf05aacb233b,2076661849627292897804524122464866925653205163890364676960491864527689930016
ethereum,1,1,0x2371e134e3455e0593363cBF89d3b6cf53740618,1.1.1.0x2371e134e3455e0593363cbf89d3b6cf53740618,91285970138449639506219869846620169968325379416866144560376770900343079651441
ethereum,1,1,0x23B1BAAE491471deF5Be350e63282Fa687874924,1.1.1.0x23b1baae491471def5be350e63282fa687874924,32212340513860815165909009909522644992848805157316713044092989589194346978857
ethereum,1,1,0x23D4D3A21741F13c3DA4B7922bAf678208A18dEc,1.1.1.0x23d4d3a21741f13c3da4b7922baf678208a18dec,47520698768776670108740018792696343511169229729113214827320068432509098840677
ethereum,1,1,0x252c546687e45463DC3061e7Fb710f1673a975eC,1.1.1.0x252c546687e45463dc3061e7fb710f1673a975ec,108871795184052198505609852904020737517538035431461093605722087573442278666367
ethereum,1,1,0x25D385fCab771e36a826BBFB47e2Ddaa2f19D449,1.1.1.0x25d385fcab771e36a826bbfb47e2ddaa2f19d449,39367997604854945456058904144538450382706026539124207435091569084838972012073
ethereum,1,1,0x28d24D4380B26A1Ef305Ad8D8DB258159E472F33,1.1.1.0x28d24d4380b26a1ef305ad8d8db258159e472f33,114826830993666545768897032979615069205705408378606520761147542181252661667069
ethereum,1,1,0x29B5D891f1E9390074271BE40670157081e614a3,1.1.1.0x29b5d891f1e9390074271be40670157081e614a3,67821548929608306053903510110299398892621253507976940347131665537062761459636
ethereum,1,1,0x29F2Cbc1e6F3250e008f91b3FFA5ffa7C460a0Fc,1.1.1.0x29f2cbc1e6f3250e008f91b3ffa5ffa7c460a0fc,77656030943523071114482265419943166940842704910397408144446117678517152451344
ethereum,1,1,0x2a79E2c69ff4d3a50BF335153e4c09Fa360F3386,1.1.1.0x2a79e2c69ff4d3a50bf335153e4c09fa360f3386,71425696436463450252059589687308032849583534273311179218339473492123030959120
ethereum,1,1,0x2C25f6C25770fFEC5959D34B94Bf898865e5D6b1,1.1.1.0x2c25f6c25770ffec5959d34b94bf898865e5d6b1,32083836776799765698957346477344490569409141025259039954176874417220467284815
ethereum,1,1,0x2C3Cc1C02856894345797Cf6ee76aE76AC0f4031,1.1.1.0x2c3cc1c02856894345797cf6ee76ae76ac0f4031,15209377294887301088979758923049403255607688287376245911057068598751840788124
ethereum,1,1,0x2C75C49c2807eEb8bbFBE1aD49eA543abBEe63d8,1.1.1.0x2c75c49c2807eeb8bbfbe1ad49ea543abbee63d8,15201784741927272761664420899095288222390762086312268848472563362349971828334
ethereum,1,1,0x2C793f5cB25B35A99648783c01E6cCCC200D2096,1.1.1.0x2c793f5cb25b35a99648783c01e6cccc200d2096,108166644750345039453722737378451293497800729877403667223963418944413074437475
ethereum,1,1,0x2Ccb3717b04Df3603b1471738d4d500Fa8e57b85,1.1.1.0x2ccb3717b04df3603b1471738d4d500fa8e57b85,91563377917897677357569866186101596399498894891139757708129867226882301991692
ethereum,1,1,0x2d8283b177D2e6AD92E09BDf13e10d1c2cE327d0,1.1.1.0x2d8283b177d2e6ad92e09bdf13e10d1c2ce327d0,88816103928244174522613380324624481333427930991831504489533474381415645500894
ethereum,1,1,0x2D9926E6a6B84476ed5718972159F3e4B33DbCCd,1.1.1.0x2d9926e6a6b84476ed5718972159f3e4b33dbccd,55856466522817170261720491621425836033803753873799551795442379047765004505464
ethereum,1,1,0x2e52Efab5be3c4AacDb832386F5a670Fe1C60555,1.1.1.0x2e52efab5be3c4aacdb832386f5a670fe1c60555,10932568348695058340397365852529929300603177336391930646459611144718223844878
ethereum,1,1,0x2E87d6bfA3F2A932e0c70A32607c0B839404984D,1.1.1.0x2e87d6bfa3f2a932e0c70a32607c0b839404984d,12718401768038038408872465681096473273658452895910524149948913795786596647714
ethereum,1,1,0x2ed10624315b74a78f11FAbedAa1A228c198aEfB,1.1.1.0x2ed10624315b74a78f11fabedaa1a228c198aefb,37889212007560577297971045558270837499477235599094236502589145865214278001275
ethereum,1,1,0x2f1aBb81ed86Be95bcf8178bA62C8e72D6834775,1.1.1.0x2f1abb81ed86be95bcf8178ba62c8e72d6834775,64556013703127983883277575879386659624842963586461685128756367250184268190251
ethereum,1,1,0x2F21c6499fa53a680120e654a27640Fc8Aa40BeD,1.1.1.0x2f21c6499fa53a680120e654a27640fc8aa40bed,113434753539057027064210845986088921509062370776201939947106990486129852480643
ethereum,1,1,0x30881Baa943777f92DC934d53D3bFdF33382cab3,1.1.1.0x30881baa943777f92dc934d53d3bfdf33382cab3,87565044102704282425118424792946038981147095282206200653325333985811931040178
ethereum,1,1,0x30A4fB0c64313613c3633807971482eDf3182618,1.1.1.0x30a4fb0c64313613c3633807971482edf3182618,7477254775897101277785473052331178811334184147719498669950469554604741489895
ethereum,1,1,0x311D1F9F998DCb5Ad794a2584d5DEB603b970d9b,1.1.1.0x311d1f9f998dcb5ad794a2584d5deb603b970d9b,49518310472228056373155550797378932550130593148143583115832496246254549654431
ethereum,1,1,0x31A5684983EeE865d943A696AAC155363bA024f9,1.1.1.0x31a5684983eee865d943a696aac155363ba024f9,13389593547395121203634824433931850764372516340966459425454073671725008105694
ethereum,1,1,0x3365184e87d2Bd75961780454A5810BEc956F0dD,1.1.1.0x3365184e87d2bd75961780454a5810bec956f0dd,42890058111978177159687147433982453354435759138287191489658342313396955031971
ethereum,1,1,0x341193ED21711472e71aECa4A942123452bd0ddA,1.1.1.0x341193ed21711472e71aeca4a942123452bd0dda,74172045639911313620215906619988495305474583590249340626168672887572898672061
ethereum,1,1,0x34eCe536d2ae03192B06c0A67030D1Faf4c0Ba43,1.1.1.0x34ece536d2ae03192b06c0a67030d1faf4c0ba43,24424067697953110705965601958875493320383538852152761230144092161982581687625
ethereum,1,1,0x36716540fcAB3eE593651Ea4A00A48c85D6Fd74C,1.1.1.0x36716540fcab3ee593651ea4a00a48c85d6fd74c,43934204727625124107276747840015042794078746960986406799699899932264633989450
ethereum,1,1,0x38248d715336d4CAd20d3e12E8dc34DA596f9d6c,1.1.1.0x38248d715336d4cad20d3e12e8dc34da596f9d6c,90635212128218600101859193720995452800542400772372323127611518993803271259180
ethereum,1,1,0x38989BBA00BDF8181F4082995b3DEAe96163aC5D,1.1.1.0x38989bba00bdf8181f4082995b3deae96163ac5d,108124933954100968524546253357058314458118462607545930899876269670665245111625
ethereum,1,1,0x38A4E979425D93DcC20af37bE22966D1bff9ecD0,1.1.1.0x38a4e979425d93dcc20af37be22966d1bff9ecd0,32140939101617397134880766652597610216315456857595016060079289318093021752179
ethereum,1,1,0x38Bc32F98c6D5C2Bb8c743a4Aa364b4F529fD1Ac,1.1.1.0x38bc32f98c6d5c2bb8c743a4aa364b4f529fd1ac,59256459894233906351667553619132227973392603527735435881458070685636002563523
ethereum,1,1,0x39Ae00999470c00E1f10603eDa39f0F1b1E979E7,1.1.1.0x39ae00999470c00e1f10603eda39f0f1b1e979e7,48971711284186916509932882559773642994543884897872064658560108957303063164280
ethereum,1,1,0x3a02F089f212dAEF4E54ec2616FFf71952A74B15,1.1.1.0x3a02f089f212daef4e54ec2616fff71952a74b15,12076112387407057515368869946550025499641539936955268492730551640190055783739
ethereum,1,1,0x3af9477CdB6E291150Dc9E19724b9097C102c188,1.1.1.0x3af9477cdb6e291150dc9e19724b9097c102c188,51726438730516440438745951236190931366774497159557332583572348591214232123582
ethereum,1,1,0x3bc4697F484F48f219B3f1Fdd2AD39cb3e986923,1.1.1.0x3bc4697f484f48f219b3f1fdd2ad39cb3e986923,6133967744955517525769249363258100597871813544417586916731605305399791737602
ethereum,1,1,0x3c124fB80e6eedD88D108C2F04013AE5CD571Abc,1.1.1.0x3c124fb80e6eedd88d108c2f04013ae5cd571abc,68201326037161001888476643637012006106926744127187955717678717596646574303496
ethereum,1,1,0x3c754561CD0B4df9513b7B6bC200963620c7b77e,1.1.1.0x3c754561cd0b4df9513b7b6bc200963620c7b77e,67808597102932746365273583737406830487585597117349926534106419801993537115045
ethereum,1,1,0x3d46c7Bf79FeDDeeC7d0C2939c0be35e4Ffa2970,1.1.1.0x3d46c7bf79feddeec7d0c2939c0be35e4ffa2970,51763530771103203791470776824661350459030152037242847378974482162275074944407
ethereum,1,1,0x3DC15A363f5Dcf3B9dB90a5C0e2a5Cdf8f1CD77E,1.1.1.0x3dc15a363f5dcf3b9db90a5c0e2a5cdf8f1cd77e,93339675009040241483436686151470637273168392573303947846913624881006341034050
ethereum,1,1,0x3Dfe70B05657949A5dB340754aD664810ac63b21,1.1.1.0x3dfe70b05657949a5db340754ad664810ac63b21,91546811648976010388135027307113796823661890563284008845592142855705310824388
ethereum,1,1,0x3E379e09F4a9a4617b5AE6C45288F01a3D278c7F,1.1.1.0x3e379e09f4a9a4617b5ae6c45288f01a3d278c7f,88309466111618909821737999650981003694956942248928246449478818824869871464704
ethereum,1,1,0x3f604074F3F12Ff70c29e6bCC9232c707DC4D970,1.1.1.0x3f604074f3f12ff70c29e6bcc9232c707dc4d970,85646581299096095212932879770618019272492875025328940977422120212804512219105
ethereum,1,1,0x3FA495ecB30E4910bAC2a31818fd68d0DBb042a4,1.1.1.0x3fa495ecb30e4910bac2a31818fd68d0dbb042a4,102822660237192335014996881005093367490987877223118714629216695419737424952102
ethereum,1,1,0x40DD8f13395a1dD5C8aB5B6a7ecDb4F782838E45,1.1.1.0x40dd8f13395a1dd5c8ab5b6a7ecdb4f782838e45,39749998120388693771439151993069039110062960918481143077602220978074698545809
ethereum,1,1,0x420690B889D474771539521B3d8C2aE276BA3880,1.1.1.0x420690b889d474771539521b3d8c2ae276ba3880,62634909580533720929757203129942068796186251926564130939525111598416046392814
ethereum,1,1,0x425651EA3ab6240A317794579ed62fcF7E7E817e,1.1.1.0x425651ea3ab6240a317794579ed62fcf7e7e817e,114488172726848055035458754839573235151509175058163584921431339474902334230043
ethereum,1,1,0x42D425Fb918acBbd73B10B851979E8fc469B3e9A,1.1.1.0x42d425fb918acbbd73b10b851979e8fc469b3e9a,114418197998633313149142788549759010048310614067403567965537406577136312906812
ethereum,1,1,0x4339C355728327852Fcd4c142fE87C06371E795C,1.1.1.0x4339c355728327852fcd4c142fe87c06371e795c,94063311012058907565426785227621960091243437640441333808714121339345758131363
ethereum,1,1,0x43fD147d5319B8Cf39a6e57143684Efca9CF3613,1.1.1.0x43fd147d5319b8cf39a6e57143684efca9cf3613,31625774546810679072116449882722204915873592107707896010635227378827493470524
ethereum,1,1,0x440aee600E9661FA76fB47ef74c4b8F711F52924,1.1.1.0x440aee600e9661fa76fb47ef74c4b8f711f52924,47860016345008935114210469464611426603212851119921678260928511990471779900871
ethereum,1,1,0x4427ceE946c626A60084000C2AbACCa9342FD8BD,1.1.1.0x4427cee946c626a60084000c2abacca9342fd8bd,36946661770845466652526283385482334073610996932987897447058697854500346822125
ethereum,1,1,0x443df5eEE3196e9b2Dd77CaBd3eA76C3dee8f9b2,1.1.1.0x443df5eee3196e9b2dd77cabd3ea76c3dee8f9b2,77509136652127421042117993825986576249961097309357280696643076892323014691394
ethereum,1,1,0x4529437099Ad37ba6fc87d6e11d233f7fc8Fc0F1,1.1.1.0x4529437099ad37ba6fc87d6e11d233f7fc8fc0f1,97743162525649315112337157831846917895261064202019087844146780796506170659973
ethereum,1,1,0x45c1875F1C48622b3D9740Af2D7dc62Bc9a72422,1.1.1.0x45c1875f1c48622b3d9740af2d7dc62bc9a72422,114983008392284273963275823090751757646375765645789272361913394731451747119542
ethereum,1,1,0x466e855072d87284314200DEDB9bfDa7145859bc,1.1.1.0x466e855072d87284314200dedb9bfda7145859bc,82218381017646242802379546731063826366380646693736705624494730524326852574193
ethereum,1,1,0x47fe8Ab9eE47DD65c24df52324181790b9F47EfC,1.1.1.0x47fe8ab9ee47dd65c24df52324181790b9f47efc,17907288854682107071124191325720845397081508648771089325432838008720241448658
ethereum,1,1,0x480be0C8e7f480A94d5B7Cd0e9A21E8EDDf4A91b,1.1.1.0x480be0c8e7f480a94d5b7cd0e9a21e8eddf4a91b,107938203946114506233671498093973315097177493397436841528344208890544755280462
ethereum,1,1,0x4881Ef0BF6d2365D3dd6499ccd7532bcdBCE0658,1.1.1.0x4881ef0bf6d2365d3dd6499ccd7532bcdbce0658,9410750158749591764124748550886496121002876964099318365965041222877732419194
