Chain,Chain ID,Morpho Protocol ID,Identifier,Position,Position ID
ethereum,1,2,0x0229dB3921dE71CFa43Cfe9fb6A87b403647A9ae,1.2.1.0x0229db3921de71cfa43cfe9fb6a87b403647a9ae,80181865722844078672807630030595742662618622934773219664533801490780622501592
ethereum,1,2,0x04422053aDDbc9bB2759b248B574e3FCA76Bc145,1.2.1.0x04422053addbc9bb2759b248b574e3fca76bc145,46172484005147046267461733233042709574121089763525838965686288956622954934318
ethereum,1,2,0x04447273Ee808702a4855403af0acE8E7c042122,1.2.1.0x04447273ee808702a4855403af0ace8e7c042122,107339406093824969208568448785580543360722376051216588182887765540155280895369
ethereum,1,2,0x047fec0E3e7f018dDCC834dcF4fe633DA3A26071,1.2.1.0x047fec0e3e7f018ddcc834dcf4fe633da3a26071,98570346510506286377028045763126476389744406549722727845366689174728057844829
ethereum,1,2,0x057F46a0222B84b7b951Cb9A1Ff189E63B8E13b6,1.2.1.0x057f46a0222b84b7b951cb9a1ff189e63b8e13b6,61590028797372050883889811384049947710038311352828330535077532861361031113534
ethereum,1,2,0x07886118d8011c7DFA6B578B4D0d1410F6D18936,1.2.1.0x07886118d8011c7dfa6b578b4d0d1410f6d18936,13729711283755382074370280004083874777028559513861634248395750405708812823071
ethereum,1,2,0x08D6Cc7b2FfE0B050388068196a787Cd4FFA4E86,1.2.1.0x08d6cc7b2ffe0b050388068196a787cd4ffa4e86,77997688525642684671816827363844768520375371270408409116673372039410656572558
ethereum,1,2,0x093272C07700d3cA5301C3Bf9B3A392624179E2F,1.2.1.0x093272c07700d3ca5301c3bf9b3a392624179e2f,84024660453829814230466784777285717283357569838954845977533148317020823961742
ethereum,1,2,0x1159c969C4dA6083B25F9aAfEf579f9E898eE6F7,1.2.1.0x1159c969c4da6083b25f9aafef579f9e898ee6f7,67676775708177664050842049590930580537089028193321700886470288829106892735892
ethereum,1,2,0x132Fe294ea9b6faD8cA00554D211d5F2b905c1AD,1.2.1.0x132fe294ea9b6fad8ca00554d211d5f2b905c1ad,47411106774569056452099903232043406976628468655083500273814142241601241331792
ethereum,1,2,0x1394841afe9cb4Eaad8d60278AF25ecbe179C5Af,1.2.1.0x1394841afe9cb4eaad8d60278af25ecbe179c5af,108550557127807212325011917413594321940029104524656840529855123078878765477023
